model,subset,lr,epochs,seed,best_val_acc,epochs_done,mean_epoch_s,wall_time_s
BERT-base,challenge,3e-05,5,77,42.81,5,8.02,58.1
BERT-base,challenge,5e-05,5,77,39.8,5,8.059999999999999,57.4
BERT-base,challenge,5e-05,4,77,38.46,4,8.125,47.5
BERT-base,challenge,3e-05,3,77,37.46,3,8.1,35.2
BERT-base,challenge,2e-05,3,77,36.12,3,8.133333333333335,37.0
BERT-base,challenge,7e-05,5,77,35.45,5,8.0,59.1
BERT-base,challenge,7e-05,4,77,35.12,4,8.1,47.5
BERT-base,challenge,3e-05,4,77,34.45,4,8.1,47.1
BERT-base,challenge,2e-05,4,77,33.78,4,8.025,47.4
BERT-base,challenge,7e-05,3,77,33.44,3,8.133333333333333,36.7
BERT-base,challenge,2e-05,5,77,31.44,5,8.059999999999999,59.2
BERT-base,challenge,5e-05,3,77,30.77,3,8.133333333333333,35.5
BERT-base,combined,7e-05,4,42,50.4,4,26.3,120.6
BERT-base,combined,3e-05,3,42,50.06,3,26.7,92.3
BERT-base,combined,3e-05,4,42,49.83,4,26.65,123.2
BERT-base,combined,5e-05,4,42,49.37,4,26.675,122.5
BERT-base,combined,5e-05,5,42,49.37,5,26.48,150.9
BERT-base,combined,7e-05,5,42,49.14,5,26.419999999999998,151.9
BERT-base,combined,3e-05,5,42,48.91,5,26.18,149.6
BERT-base,combined,5e-05,3,42,48.91,3,26.599999999999998,90.7
BERT-base,combined,2e-05,5,42,48.79,5,26.7,154.3
BERT-base,combined,7e-05,3,42,48.45,3,26.633333333333336,92.2
BERT-base,combined,2e-05,4,42,47.76,4,26.725,123.8
BERT-base,combined,2e-05,3,42,45.11,3,26.566666666666666,91.0
BERT-base,easy,7e-05,5,77,58.25,5,17.5,107.3
BERT-base,easy,7e-05,4,77,55.09,4,17.525,85.8
BERT-base,easy,2e-05,3,77,53.68,3,17.5,65.0
DeBERTa-v3-base,challenge,3e-05,4,77,52.17,4,9.85,63.9
DeBERTa-v3-base,challenge,2e-05,5,77,51.84,5,9.72,78.4
DeBERTa-v3-base,challenge,2e-05,4,77,51.51,4,9.775,66.2
DeBERTa-v3-base,challenge,3e-05,5,77,50.5,5,9.74,81.2
DeBERTa-v3-base,challenge,2e-05,3,77,49.83,3,9.833333333333334,49.6
DeBERTa-v3-base,challenge,1.5e-05,4,77,49.5,4,9.75,65.5
DeBERTa-v3-base,challenge,1e-05,5,77,49.16,5,9.459999999999999,77.1
DeBERTa-v3-base,challenge,3e-05,3,77,49.16,3,9.833333333333334,49.7
DeBERTa-v3-base,challenge,1e-05,3,77,48.83,3,10.4,51.0
DeBERTa-v3-base,challenge,1.5e-05,5,77,48.49,5,9.48,76.8
DeBERTa-v3-base,challenge,1e-05,4,77,48.49,4,9.8,65.7
DeBERTa-v3-base,challenge,1.5e-05,3,77,47.16,3,9.933333333333332,47.9
DeBERTa-v3-base,combined,2e-05,5,77,69.97,5,27.78,168.1
DeBERTa-v3-base,combined,3e-05,4,77,69.74,4,28.150000000000002,138.9
DeBERTa-v3-base,combined,3e-05,5,77,69.62,5,26.5,162.9
DeBERTa-v3-base,combined,1.5e-05,5,77,69.16,5,27.939999999999998,172.7
DeBERTa-v3-base,combined,2e-05,4,77,68.81,4,27.5,134.5
DeBERTa-v3-base,combined,1e-05,5,77,68.12,5,27.96,172.8
DeBERTa-v3-base,combined,1.5e-05,4,77,67.55,4,27.9,136.2
DeBERTa-v3-base,combined,1e-05,4,77,67.55,4,28.424999999999997,138.0
DeBERTa-v3-base,combined,2e-05,3,77,67.09,3,28.399999999999995,104.8
DeBERTa-v3-base,combined,3e-05,3,77,66.86,3,27.5,102.2
DeBERTa-v3-base,combined,1.5e-05,3,77,66.4,3,28.0,103.9
DeBERTa-v3-base,combined,1e-05,3,77,66.17,3,28.066666666666663,104.0
DeBERTa-v3-base,easy,3e-05,5,77,76.14,5,24.639999999999997,154.2
DeBERTa-v3-base,easy,3e-05,3,77,75.61,3,24.96666666666667,92.7
DeBERTa-v3-base,easy,1.5e-05,5,77,75.44,5,24.720000000000006,153.3
DeBERTa-v3-base,easy,2e-05,5,77,75.44,5,24.48,151.4
DeBERTa-v3-base,easy,2e-05,4,77,75.09,4,25.049999999999997,125.0
DeBERTa-v3-base,easy,3e-05,4,77,74.56,4,25.0,122.3
DeBERTa-v3-base,easy,1.5e-05,4,77,74.39,4,24.500000000000004,123.7
DeBERTa-v3-base,easy,2e-05,3,77,74.21,3,24.933333333333337,94.8
DeBERTa-v3-base,easy,1e-05,4,77,73.16,4,24.9,122.1
DeBERTa-v3-base,easy,1e-05,5,77,73.16,5,24.9,153.3
DeBERTa-v3-base,easy,1e-05,3,77,72.63,3,25.23333333333333,95.7
DeBERTa-v3-base,easy,1.5e-05,3,77,72.46,3,25.066666666666663,95.0
